time,pid,event,state,reason,cpu,queue
0,-1,MEMORY,ALLOC,20,-1,MEM
0,1,CREATE,NEW,,-1,NEW
0,-1,MEMORY,ALLOC,16,-1,MEM
0,2,CREATE,NEW,,-1,NEW
0,-1,MEMORY,ALLOC,32,-1,MEM
0,3,CREATE,NEW,,-1,NEW
5,1,STATE_CHANGE,READY,,-1,READY
6,1,STATE_CHANGE,RUNNING,,0,CPU
6,1,STATE_CHANGE,BLOCKED,io,-1,BLOCKED
16,3,STATE_CHANGE,READY,,-1,READY
17,3,STATE_CHANGE,RUNNING,,0,CPU
18,3,MEMORY,FREE,32,-1,MEM
18,3,TERMINATED,TERMINATED,,-1,TERM
24,2,STATE_CHANGE,READY,,-1,READY
25,2,STATE_CHANGE,RUNNING,,0,CPU
25,2,STATE_CHANGE,BLOCKED,io,-1,BLOCKED
31,2,UNBLOCKED,READY,io,-1,READY
31,2,STATE_CHANGE,READY,,-1,READY
31,2,STATE_CHANGE,RUNNING,,0,CPU
33,2,STATE_CHANGE,BLOCKED,timer,-1,READY
33,2,STATE_CHANGE,READY,quantum,-1,READY
33,2,STATE_CHANGE,RUNNING,,0,CPU
35,2,STATE_CHANGE,BLOCKED,timer,-1,READY
35,2,STATE_CHANGE,READY,quantum,-1,READY
35,2,STATE_CHANGE,RUNNING,,0,CPU
37,2,STATE_CHANGE,BLOCKED,timer,-1,READY
37,2,STATE_CHANGE,READY,quantum,-1,READY
37,2,STATE_CHANGE,RUNNING,,0,CPU
39,2,STATE_CHANGE,BLOCKED,timer,-1,READY
39,2,STATE_CHANGE,READY,quantum,-1,READY
39,2,STATE_CHANGE,RUNNING,,0,CPU
41,2,STATE_CHANGE,BLOCKED,timer,-1,READY
41,2,STATE_CHANGE,READY,quantum,-1,READY
41,2,STATE_CHANGE,RUNNING,,0,CPU
43,2,STATE_CHANGE,BLOCKED,timer,-1,READY
43,2,STATE_CHANGE,READY,quantum,-1,READY
43,2,STATE_CHANGE,RUNNING,,0,CPU
45,2,STATE_CHANGE,BLOCKED,timer,-1,READY
45,2,STATE_CHANGE,READY,quantum,-1,READY
45,2,STATE_CHANGE,RUNNING,,0,CPU
46,2,MEMORY,FREE,16,-1,MEM
46,2,TERMINATED,TERMINATED,,-1,TERM
56,1,UNBLOCKED,READY,io,-1,READY
56,1,STATE_CHANGE,READY,,-1,READY
56,1,STATE_CHANGE,RUNNING,,0,CPU
58,1,STATE_CHANGE,BLOCKED,timer,-1,READY
58,1,STATE_CHANGE,READY,quantum,-1,READY
58,1,STATE_CHANGE,RUNNING,,0,CPU
60,1,STATE_CHANGE,BLOCKED,timer,-1,READY
60,1,STATE_CHANGE,READY,quantum,-1,READY
60,1,STATE_CHANGE,RUNNING,,0,CPU
62,1,STATE_CHANGE,BLOCKED,timer,-1,READY
62,1,STATE_CHANGE,READY,quantum,-1,READY
62,1,STATE_CHANGE,RUNNING,,0,CPU
64,1,STATE_CHANGE,BLOCKED,timer,-1,READY
64,1,STATE_CHANGE,READY,quantum,-1,READY
64,1,STATE_CHANGE,RUNNING,,0,CPU
66,1,MEMORY,FREE,20,-1,MEM
66,1,TERMINATED,TERMINATED,,-1,TERM
